time,open,high,low,close,Volume
1246282200,919.86,927.99,916.18,927.23,4211760000
1246368600,927.15,930.01,912.86,919.32,4627570000
1246455000,920.82,931.92,920.82,923.33,3919400000
1246541400,921.24,921.24,896.42,896.42,3931000000
1246887000,894.27,898.72,886.36,898.72,4712580000
1246973400,898.6,898.6,879.93,881.03,4673300000
1247059800,881.9,886.8,869.32,879.56,5721780000
1247146200,881.28,887.86,878.45,882.68,4347170000
1247232600,880.03,883.57,872.81,879.13,3912080000
1247491800,879.57,901.05,875.32,901.05,4499440000
1247578200,900.77,905.84,896.5,905.84,4149030000
1247664600,910.15,933.95,910.15,932.68,5238830000
1247751000,930.17,943.96,927.45,940.74,4898640000
1247837400,940.56,941.89,934.65,940.38,5141380000
1248096600,942.07,951.62,940.99,951.13,4853150000
1248183000,951.97,956.53,943.22,954.58,5309300000
1248269400,953.4,959.83,947.75,954.07,4634100000
1248355800,953.87,979.42,953.27,976.29,5761650000
1248442200,972.16,979.79,965.95,979.26,4458300000
1248701400,978.63,982.49,972.29,982.18,4631290000
1248787800,981.48,982.35,969.35,979.62,5490350000
1248874200,977.66,977.76,968.65,975.15,5178770000
1248960600,976.01,996.68,976.01,986.75,6035180000
1249047000,986.8,993.18,982.85,987.48,5139070000
1249306200,990.22,1003.61,990.22,1002.63,5603440000
1249392600,1001.41,1007.12,996.68,1005.65,5713700000
1249479000,1005.41,1006.64,994.31,1002.72,7242120000
1249565400,1004.06,1008,992.49,997.08,6753380000
1249651800,999.83,1018,999.83,1010.48,6827090000
1249911000,1008.89,1010.12,1000.99,1007.1,5406080000
1249997400,1005.77,1005.77,992.4,994.35,5773160000
1250083800,994,1012.78,993.36,1005.81,5498170000
1250170200,1005.86,1012.78,1001.02,1012.73,5250660000
1250256600,1012.23,1012.6,994.6,1004.09,4940750000
1250515800,998.18,998.18,978.51,979.73,4088570000
1250602200,980.62,991.2,980.62,989.67,4198970000
1250688600,986.88,999.61,980.62,996.46,4257000000
1250775000,996.41,1008.92,996.39,1007.37,4893160000
1250861400,1009.06,1027.59,1009.06,1026.13,5885550000
1251120600,1026.59,1035.82,1022.48,1025.57,6302450000
1251207000,1026.63,1037.75,1026.21,1028,5768740000
1251293400,1027.35,1032.47,1021.57,1028.12,5080060000
1251379800,1027.81,1033.33,1016.2,1030.98,5785880000
1251466200,1031.62,1039.47,1023.13,1028.93,5785780000
1251725400,1025.21,1025.21,1014.62,1020.62,5004560000
1251811800,1019.52,1028.45,996.28,998.04,6862360000
1251898200,996.07,1000.34,991.97,994.75,5842730000
1251984600,996.12,1003.43,992.25,1003.24,4624280000
1252071000,1003.84,1016.48,1001.65,1016.4,4097370000
1252416600,1018.67,1026.07,1018.67,1025.39,5235160000
1252503000,1025.36,1036.34,1023.97,1033.37,5202550000
1252589400,1032.99,1044.14,1028.04,1044.14,5191380000
1252675800,1043.92,1048.18,1038.4,1042.73,4922600000
1252935000,1040.15,1049.74,1035,1049.34,4979610000
1253021400,1049.03,1056.04,1043.42,1052.63,6185620000
1253107800,1053.99,1068.76,1052.87,1068.76,6793530000
1253194200,1067.87,1074.77,1061.2,1065.49,6668110000
1253280600,1066.6,1071.52,1064.27,1068.3,5607970000
1253539800,1067.14,1067.28,1057.46,1064.66,4615280000
1253626200,1066.35,1073.81,1066.35,1071.66,5246600000
1253712600,1072.68,1080.15,1060.39,1060.87,5531930000
1253799000,1062.56,1066.29,1045.85,1050.78,5505610000
1253885400,1049.48,1053.47,1041.17,1044.38,4507090000
1254144600,1045.38,1065.13,1045.38,1062.98,3726950000
