time,open,high,low,close,Volume
1249283400,25.92,26.49001,25.56,25.56,NaN
1249369800,25.55,26.16,24.89,24.89,NaN
1249456200,24.91,25.85001,24.85999,24.89999,NaN
1249542600,24.89999,26.14999,24.46999,25.67,NaN
1249629000,24.71001,24.95,23.98,24.75999,NaN
1249888200,24.75999,25.82001,24.75999,24.98999,NaN
1249974600,24.98,26.98,24.98,25.98999,NaN
1250061000,25.99001,26.5,25.10999,25.45,NaN
1250147400,25.34,26.14999,24.70999,24.70999,NaN
1250233800,24.77,25.94,24.25999,24.26999,NaN
1250493000,24.27,28.39,24.26999,27.89,NaN
1250579400,27.89,27.89,26.07999,26.17999,NaN
1250665800,28.08,28.14,26.14,26.25999,NaN
1250752200,26.45,26.45,24.75,25.09,NaN
1250838600,24.49001,25.06,23.90999,25.00999,NaN
1251097800,25.00999,25.7,25.00999,25.14,NaN
1251184200,25.13,25.13,22.57999,24.92,NaN
1251270600,24.91,25.56,24.68999,24.95,NaN
1251357000,25.13,25.89,24.42999,24.67999,NaN
1251443400,24.44,25.5,24.28,24.75999,NaN
1251702600,24.75999,27.00999,24.75999,26.00999,NaN
1251789000,26.00999,29.23,26,29.14999,NaN
1251875400,29.14,29.57001,28.40999,28.89999,NaN
1251961800,28.89999,28.89999,26.98,27.09999,NaN
1252048200,26.98,26.98,24.85999,25.25999,NaN
1252393800,25.25999,26.14999,25.25999,25.62,NaN
1252480200,25.66,25.92999,24.23,24.31999,NaN
1252566600,24.39999,24.75999,22.81999,23.54999,NaN
1252653000,23.49001,24.33,22.48,24.14999,NaN
1252912200,25.39,25.39,23.31999,23.85999,NaN
1252998600,23.89999,24.27,23.06999,23.42,NaN
1253085000,23.28999,23.92,22.78,23.68999,NaN
1253171400,23.99001,24.07001,22.78999,23.64999,NaN
1253257800,23.64999,24.42999,23.14,23.92,NaN
1253517000,25.34,25.50999,23.70999,24.06,NaN
1253603400,23.81,23.98,23.06,23.07999,NaN
1253689800,22.89999,23.69,22.18999,23.48999,NaN
1253776200,23.67,25.37,23.43999,24.95,NaN
1253862600,25.17999,26.34,24.81,25.60999,NaN
1254121800,26.25999,26.39999,24.84999,24.87999,NaN
1254208200,24.88,25.28,24.53999,25.18999,NaN
1254294600,25.19,26.45,24.75999,25.60999,NaN
1254381000,25.98,28.42,25.98,28.26999,NaN
1254467400,29.34,29.56,27.98,28.67999,NaN
1254726600,29.34,29.34,26.56999,26.84,NaN
1254813000,26.39,26.41,25.18999,25.7,NaN
1254899400,25.78,25.82001,24.56999,24.67999,NaN
1254985800,24.67999,24.69,23.89999,24.17999,NaN
1255072200,24.39,24.53999,22.98999,23.12,NaN
1255331400,23.12,23.53,22.67,23.00999,NaN
1255417800,23,24.07001,22.73999,22.98999,NaN
1255504200,22.08,22.89,21.54999,22.85999,NaN
1255590600,23.50999,23.53,21.48999,21.71999,NaN
1255677000,21.72,22.60001,20.98,21.42999,NaN
1255936200,21.41,22.46001,20.90999,21.48999,NaN
1256022600,21.55,21.75999,20.89999,20.89999,NaN
1256109000,20.89999,22.48,20.09999,22.21999,NaN
1256195400,22.22,22.77,20.32999,20.68999,NaN
1256281800,20.7,22.59,20.34,22.26999,NaN
1256541000,23.06,24.86,21.89,24.31,NaN
1256627400,24.38,25.22,24.03,24.82999,NaN
1256713800,24.83,27.94,24.82999,27.90999,NaN
1256800200,27.16,27.19,24.67999,24.75999,NaN
1256886600,24.75999,31.59,24.75999,30.68999,NaN
1257149400,30.7,31.84,28.06999,29.78,NaN
1257235800,30.62,30.8,28.76999,28.81,NaN
1257322200,28.81,28.81,26.60999,27.71999,NaN
1257408600,27.28,27.39,25.40999,25.42999,NaN
1257495000,26.17,26.17,24.06,24.18999,NaN
1257754200,24.19,24.24001,22.78,23.14999,NaN
1257840600,23.14999,23.53,22.78,22.84,NaN
1257927000,22.84,23.67999,21.60999,23.03999,NaN
1258013400,23.03999,24.61,22.90999,24.23999,NaN
1258099800,24.25,24.42999,23.21999,23.35999,NaN
1258359000,23.36,23.42,22.01999,22.89,NaN
1258445400,22.81,23.33,22.26999,22.40999,NaN
1258531800,22.35001,22.64999,21.62999,21.62999,NaN
1258618200,21.63,24.2,21.62999,22.62999,NaN
1258704600,23.45,23.45,19.76999,22.18999,NaN
1258963800,21.98,21.98,20.89999,21.15999,NaN
1259050200,21.28,21.87,20.34999,20.46999,NaN
1259136600,20.23,20.57001,20.04999,20.48,NaN
1259309400,25.75,25.92999,23.12,24.84999,NaN
1259568600,24.95,25.57001,24.18999,24.50999,NaN
1259655000,24.50999,24.50999,21.87999,21.92,NaN
1259741400,21.89,22.19,21.00999,21.12,NaN
1259827800,21.14999,22.5,20.60999,22.45999,NaN
1259914200,21.17999,22.75999,20.62,21.25,NaN
1260173400,22.32001,22.46001,21.59999,22.09999,NaN
1260259800,23.28,23.97,22.84,23.68999,NaN
1260346200,23.21001,24.2,22.53999,22.65999,NaN
1260432600,22.66,22.66,21.76999,22.31999,NaN
1260519000,21.45,22.31,21.39,21.59,NaN
1260778200,21.59,21.59,20.56999,21.14999,NaN
1260864600,21.09,21.87,20.90999,21.48999,NaN
1260951000,21.5,21.5,20.45999,20.53999,NaN
1261037400,21.89,22.86,21.39999,22.50999,NaN
